id_cliente,tipo_cliente,localidad,id_plan,fecha_alta,fecha_baja,motivo_baja,canal_alta,email,telefono
C1058,Residencial,Ostende,P03,2020-09-17,,,Referido,cliente57@yahoo.com.ar,02254-452368
C1059,Residencial,Pinamar,P02,2022-11-22,,,Referido,cliente58@gmail.com,+54 2254 429413
C1060,Residencial,Cariló,P04,2019-02-23,,,Web,cliente59@yahoo.com.ar,2254402754
C1061,Residencial,Cariló,P01,2021-05-04,,,Telefónico,cliente60@yahoo.com.ar,2254437297
C1062,Residencial,Mar de Ostende,P01,2021-04-14,,,Sucursal,cliente61@hotmail.com,02254-465960
C1063,Comercial,pinamar,P06,2022-09-10,,,Telefónico,,+54 2254 422432
C1064,residencial,Mar de Ostende,P01,2024-02-12,2026-06-28,Falta de pago,Sucursal,,+54 2254 451000
C1065,Residencial,General Madariaga,P02,2019-05-04,,,Sucursal,cliente64@hotmail.com,+54 2254 407956
C1066,Residencial,valeria del mar,P02,2023-01-10,,,Sucursal,cliente65@hotmail.com,2254438179
C1067,Residencial,Ostende,P05,2021-06-19,,,Telefónico,cliente66@gmail.com,2254494984
C1068,Residencial,OSTENDE,P01,2022-12-10,,,Referido,cliente67@gmail.com,02254-429116
C1069,Comercial,Pinamar,P06,2023-06-27,,,Web,cliente68@gmail.com,+54 2254 493607
C1070,Comercial,Pinamar,P05,2022-08-04,,,Sucursal,cliente69@hotmail.com,02254-466187
C1071,Residencial,Pinamar,P01,2022-10-15,,,Web,cliente70@telpin.com.ar,02254-427730
C1072,Residencial,Cariló,P01,2023-09-14,,,Referido,cliente71@telpin.com.ar,02254-402414
C1073,RESIDENCIAL,VALERIA DEL MAR,P04,2024-05-02,2026-04-18,Falta de pago,Vendedor,cliente72@gmail.com,02254-420363
C1074,Residencial,Ostende,P05,2022-03-15,2025-05-22,Precio,Web,cliente73@gmail.com,02254-455772
C1075,Comercial,Pinamar,P06,2019-03-23,,,Sucursal,cliente74@hotmail.com,02254-421378
C1076,Residencial,Mar de Ostende,P01,2017-08-07,,,Telefónico,cliente75@telpin.com.ar,02254-426108
C1077,Residencial,Valeria del Mar,P04,2022-05-12,,,Web,cliente76@hotmail.com,+54 2254 464259
C1078,Comercial,mar de ostende,P06,2021-03-12,,,Sucursal,cliente77@hotmail.com,
C1079,Residencial,Cariló,P03,2021-07-22,,,Web,cliente78@hotmail.com,2254492799
C1080,Residencial,Mar de Ostende,P03,2023-01-01,,,Referido,cliente79@telpin.com.ar,2254491991
C1081,Residencial,Pinamar,P03,2024-03-08,,,Vendedor,cliente80@gmail.com,02254-448853
C1082,Residencial,Pinamar,P03,2023-04-24,,,Sucursal,cliente81@hotmail.com,2254410490
C1083,Residencial,Valeria del Mar,P02,2021-12-25,,,Referido,cliente82@hotmail.com,+54 2254 477857
C1084,Residencial,Valeria del Mar,P05,2022-03-13,,,Sucursal,,2254498893
C1085,Residencial,Ostende,P01,2023-11-13,2026-02-01,Sin motivo declarado,Web,cliente84@hotmail.com,
C1086,Residencial,Cariló,P04,2022-03-30,2025-07-28,Disconformidad con el servicio,Referido,cliente85@yahoo.com.ar,+54 2254 461155
C1087,Residencial,Mar de Ostende,P02,2022-11-26,,,Sucursal,cliente86@gmail.com,2254462524
C1088,Residencial,Ostende,P03,2021-04-07,,,Sucursal,cliente87@gmail.com,+54 2254 426055
C1089,Residencial,Pinamar,P02,2022-02-04,2025-05-07,Se muda,Sucursal,cliente88@hotmail.com,
C1090,Residencial,Pinamar,P04,2018-11-12,,,Vendedor,cliente89@gmail.com,2254402709
C1091,Residencial,Pinamar,P02,2022-08-10,,,Referido,cliente90@hotmail.com,
C1092,Residencial,Mar de Ostende,P03,2020-02-15,,,Web,cliente91@gmail.com,2254447774
C1093,comercial,Pinamar,P06,2021-04-29,,,Vendedor,cliente92@gmail.com,2254450055
C1094,Comercial,Valeria del Mar,P05,2021-12-25,,,Sucursal,cliente93@gmail.com,02254-481491
C1095,residencial,General Madariaga,P03,2022-05-28,2026-03-04,Competencia,Web,,02254-426024
C1096,Residencial,Valeria del Mar,P01,2023-12-31,,,Referido,cliente95@gmail.com,02254-435110
C1097,Residencial,Ostende,P03,2017-05-09,2026-05-23,Disconformidad con el servicio,Web,cliente96@gmail.com,02254-440888
C1098,Comercial,Pinamar,P06,2022-11-17,,,Telefónico,cliente97@hotmail.com,
C1099,Residencial,Pinamar,P01,2022-12-30,,,Sucursal,cliente98@hotmail.com,
C1100,Residencial,CARILÓ,P03,2021-06-02,,,Telefónico,cliente99@gmail.com,02254-460717
C1101,Residencial,MAR DE OSTENDE,P02,2021-04-02,,,Vendedor,cliente100@hotmail.com,+54 2254 413038
C1102,Residencial,Mar de Ostende,P04,2023-04-28,,,Vendedor,cliente101@telpin.com.ar,+54 2254 494265
C1103,Residencial,Pinamar,P03,2018-07-04,,,Web,cliente102@hotmail.com,02254-433731
C1104,Residencial,Cariló,P01,2022-04-29,,,Sucursal,cliente103@gmail.com,2254477625
C1105,Residencial,General Madariaga,P01,2019-01-03,,,Sucursal,cliente104@telpin.com.ar,02254-441965
C1106,Residencial,Pinamar,P02,2023-11-28,,,Web,cliente105@gmail.com,
C1107,Residencial,Cariló,P02,2022-05-04,,,Web,cliente106@telpin.com.ar,
C1108,Residencial,Ostende,P03,2023-11-17,,,Vendedor,cliente107@telpin.com.ar,+54 2254 499604
C1109,Comercial,Ostende,P06,2019-07-29,,,Sucursal,cliente108@gmail.com,+54 2254 481546
C1110,Residencial,Pinamar,P04,2017-06-10,2025-03-30,Competencia,Web,cliente109@telpin.com.ar,2254494654
C1111,Residencial,Ostende,P02,2022-02-10,,,Web,cliente110@gmail.com,
C1112,Residencial,Pinamar,P02,2021-04-12,,,Referido,cliente111@gmail.com,+54 2254 499337
C1113,RESIDENCIAL,Mar de Ostende,P01,2022-03-21,,,Sucursal,cliente112@gmail.com,
C1114,Residencial,Pinamar,P02,2017-04-29,,,Sucursal,,02254-461462
C1115,Residencial,Ostende,P02,2021-12-12,,,Telefónico,cliente114@gmail.com,
C1116,RESIDENCIAL,Mar de Ostende,P02,2021-07-06,,,Sucursal,cliente115@gmail.com,+54 2254 439611
C1117,Residencial,Pinamar,P01,2018-06-18,2026-03-02,Competencia,Sucursal,,+54 2254 462833
C1118,RESIDENCIAL,Valeria del Mar,P04,2015-05-07,,,Sucursal,cliente117@hotmail.com,+54 2254 459047
C1119,Residencial,Cariló,P05,2018-12-27,,,Web,,02254-492909
C1120,Residencial,Ostende,P05,2023-01-23,,,Web,cliente119@gmail.com,02254-451510
C1121,Residencial,Mar de Ostende,P02,2020-12-11,2026-01-08,Sin motivo declarado,Web,cliente120@telpin.com.ar,02254-407126
C1122,Residencial,Valeria del Mar,P03,2024-01-07,,,Sucursal,,
C1123,residencial,Pinamar,P03,2019-12-17,,,Sucursal,cliente122@hotmail.com,02254-496340
C1124,Residencial,pinamar,P02,2018-04-14,,,Sucursal,cliente123@gmail.com,+54 2254 469370
C1125,Residencial,Ostende,P01,2019-05-25,,,Vendedor,cliente124@hotmail.com,2254410817
C1126,Residencial,Cariló,P02,2021-11-28,,,Referido,cliente125@gmail.com,+54 2254 447065
C1127,Residencial,Ostende,P05,2024-04-11,,,Telefónico,cliente126@gmail.com,02254-426239
C1128,Residencial,Pinamar,P04,2020-06-25,2026-02-18,Se muda,Sucursal,cliente127@gmail.com,
C1129,COMERCIAL,Valeria del Mar,P06,2023-01-28,,,Web,cliente128@telpin.com.ar,02254-438600
C1130,Residencial,Ostende,P05,2023-08-23,,,Sucursal,cliente129@hotmail.com,2254460357
C1131,Residencial,Ostende,P05,2021-05-18,,,Sucursal,cliente130@hotmail.com,2254499916
C1132,Comercial,Pinamar,P05,2021-01-28,,,Sucursal,cliente131@hotmail.com,+54 2254 468394
C1133,Residencial,General Madariaga,P01,2022-10-29,,,Sucursal,cliente132@gmail.com,2254498026
C1134,Residencial,Pinamar,P02,2021-06-06,,,Web,cliente133@hotmail.com,02254-496293
C1135,Residencial,Pinamar,P01,2022-09-27,,,Sucursal,cliente134@gmail.com,02254-444894
C1136,residencial,pinamar,P01,2023-01-20,,,Web,cliente135@hotmail.com,
C1137,Residencial,Pinamar,P04,2022-07-25,,,Web,cliente136@gmail.com,02254-420964
C1138,Comercial,Pinamar,P06,2024-01-09,,,Web,cliente137@hotmail.com,02254-457536
C1139,Residencial,Valeria del Mar,P02,2021-06-17,2024-09-04,Fin de temporada,Telefónico,cliente138@gmail.com,2254489669
C1140,Residencial,Ostende,P05,2024-01-24,,,Web,cliente139@yahoo.com.ar,02254-481857
C1141,Residencial,Pinamar,P02,2018-08-14,2025-01-01,Competencia,Referido,cliente140@yahoo.com.ar,
C1142,Residencial,Valeria del Mar,P03,2022-11-07,,,Telefónico,cliente141@gmail.com,2254451268
C1143,Residencial,Cariló,P01,2019-12-28,2025-05-31,Falta de pago,Sucursal,cliente142@telpin.com.ar,+54 2254 496661
C1144,Residencial,GENERAL MADARIAGA,P01,2022-07-01,2025-10-25,Competencia,Sucursal,cliente143@gmail.com,02254-414409
C1145,Residencial,Ostende,P02,2023-05-17,,,Sucursal,cliente144@telpin.com.ar,2254444833
C1146,RESIDENCIAL,Cariló,P02,2023-09-02,2026-05-16,Competencia,Sucursal,cliente145@hotmail.com,2254443852
C1147,Residencial,Pinamar,P01,2024-04-15,,,Web,cliente146@yahoo.com.ar,02254-461767
C1148,Residencial,Valeria del Mar,P05,2023-04-08,2025-12-11,Sin motivo declarado,Referido,,2254448468
C1149,Residencial,Ostende,P02,2022-07-05,2026-01-21,Disconformidad con el servicio,Telefónico,cliente148@gmail.com,02254-426885
C1150,Residencial,Pinamar,P02,2018-05-10,,,Telefónico,cliente149@gmail.com,02254-464165
C1151,Residencial,Pinamar,P02,2021-06-13,,,Vendedor,cliente150@hotmail.com,
C1152,Residencial,Pinamar,P04,2022-06-21,,,Sucursal,cliente151@hotmail.com,+54 2254 426670
C1153,Residencial,Cariló,P02,2024-01-13,,,Sucursal,cliente152@hotmail.com,02254-487723
C1154,Comercial,Cariló,P06,2019-05-29,2024-12-30,Sin motivo declarado,Vendedor,cliente153@gmail.com,+54 2254 416359
C1155,Residencial,Valeria del Mar,P05,2023-11-25,2025-08-16,Competencia,Web,cliente154@hotmail.com,2254401398
C1156,Residencial,Pinamar,P02,2019-07-30,,,Sucursal,cliente155@gmail.com,
C1157,Residencial,Pinamar,P02,2022-08-22,,,Sucursal,cliente156@gmail.com,2254435427
C1158,Residencial,Pinamar,P04,2022-02-20,,,Vendedor,cliente157@gmail.com,02254-452055
C1159,Residencial,Pinamar,P05,2023-05-26,,,Telefónico,cliente158@gmail.com,+54 2254 421206
C1160,Comercial,Pinamar,P06,2021-03-18,,,Web,cliente159@gmail.com,02254-402248
C1161,Residencial,cariló,P02,2023-01-02,2026-06-13,Fin de temporada,Vendedor,cliente160@gmail.com,2254441434
C1162,RESIDENCIAL,Ostende,P01,2023-09-01,,,Web,cliente161@hotmail.com,2254464516
C1163,Residencial,Pinamar,P02,2024-01-16,,,Telefónico,cliente162@gmail.com,2254490283
C1164,Comercial,Ostende,P06,2023-08-06,2024-09-28,Disconformidad con el servicio,Vendedor,cliente163@gmail.com,02254-485314
C1165,Residencial,Cariló,P01,2024-01-10,2024-10-05,Se muda,Vendedor,cliente164@gmail.com,+54 2254 498784
C1166,Residencial,CARILÓ,P02,2022-12-27,,,Telefónico,cliente165@hotmail.com,2254416302
C1167,Residencial,General Madariaga,P04,2020-11-21,,,Sucursal,cliente166@hotmail.com,02254-487264
C1168,Residencial,Pinamar,P04,2023-03-16,,,Telefónico,cliente167@telpin.com.ar,2254425590
C1169,Residencial,Ostende,P02,2022-07-31,,,Sucursal,cliente168@telpin.com.ar,2254466047
C1170,Residencial,Valeria del Mar,P01,2021-03-16,,,Sucursal,cliente169@gmail.com,02254-410332
C1171,Residencial,Valeria del Mar,P03,2023-01-31,,,Sucursal,cliente170@hotmail.com,+54 2254 437052
C1172,Residencial,Pinamar,P02,2023-08-15,,,Vendedor,,02254-487583
C1173,RESIDENCIAL,OSTENDE,P03,2019-08-14,,,Vendedor,cliente172@gmail.com,02254-420279
C1174,Residencial,General Madariaga,P01,2020-10-11,,,Sucursal,cliente173@telpin.com.ar,2254452294
C1175,Residencial,Valeria del Mar,P05,2024-03-06,2025-03-30,Fin de temporada,Telefónico,cliente174@gmail.com,2254467262
C1176,Residencial,Mar de Ostende,P01,2022-03-23,2025-03-09,Fin de temporada,Sucursal,,2254417568
C1177,Residencial,Mar de Ostende,P01,2021-04-03,,,Vendedor,cliente176@hotmail.com,+54 2254 401859
C1178,Residencial,Pinamar,P02,2022-08-07,,,Telefónico,cliente177@telpin.com.ar,+54 2254 420325
C1179,residencial,Pinamar,P04,2023-06-22,,,Web,cliente178@hotmail.com,+54 2254 495921
C1180,Residencial,Valeria del Mar,P01,2020-11-03,2026-03-10,Fin de temporada,Telefónico,cliente179@hotmail.com,2254468576
C1181,Residencial,Pinamar,P04,2020-11-08,,,Sucursal,,02254-404562
C1182,Residencial,Cariló,P05,2020-04-22,,,Sucursal,cliente181@telpin.com.ar,+54 2254 474356
C1183,Residencial,Pinamar,P03,2018-09-03,,,Telefónico,cliente182@yahoo.com.ar,+54 2254 489976
C1184,comercial,Pinamar,P06,2023-05-06,,,Web,cliente183@hotmail.com,02254-418763
C1185,Residencial,Pinamar,P05,2019-10-04,,,Sucursal,cliente184@gmail.com,02254-434730
C1186,Residencial,mar de ostende,P03,2021-03-13,,,Telefónico,,2254411178
C1187,residencial,Ostende,P05,2024-03-18,2025-11-23,Sin motivo declarado,Vendedor,cliente186@gmail.com,2254459606
C1188,Residencial,Pinamar,P02,2023-06-07,,,Vendedor,cliente187@hotmail.com,+54 2254 437356
C1189,Residencial,Valeria del Mar,P01,2022-10-30,,,Vendedor,cliente188@hotmail.com,2254485556
C1190,Residencial,General Madariaga,P01,2023-08-06,,,Referido,cliente189@telpin.com.ar,+54 2254 429720
C1191,Residencial,Pinamar,P02,2021-04-02,,,Web,cliente190@gmail.com,02254-411417
C1192,Residencial,Pinamar,P02,2020-07-28,,,Web,cliente191@hotmail.com,02254-493765
C1193,Residencial,Pinamar,P01,2022-09-12,,,Vendedor,,+54 2254 456472
C1194,Residencial,Valeria del Mar,P05,2021-06-16,,,Web,cliente193@hotmail.com,02254-475082
C1195,Residencial,Mar de Ostende,P02,2022-05-21,,,Web,cliente194@gmail.com,02254-490524
C1196,Residencial,GENERAL MADARIAGA,P05,2023-03-15,,,Sucursal,cliente195@gmail.com,2254458774
C1197,Residencial,Ostende,P01,2024-06-03,,,Sucursal,cliente196@hotmail.com,+54 2254 405838
C1198,Residencial,Pinamar,P02,2019-12-20,,,Telefónico,cliente197@gmail.com,2254440219
C1199,Comercial,Pinamar,P06,2021-03-23,,,Sucursal,cliente198@yahoo.com.ar,
C1200,Residencial,  General Madariaga ,P01,2023-02-17,2025-10-08,Precio,Web,cliente199@gmail.com,02254-409622
C1201,Comercial,Pinamar,P06,2021-02-24,,,Sucursal,cliente200@gmail.com,+54 2254 415632
C1202,COMERCIAL,Pinamar,P06,2024-04-21,2026-05-13,Precio,Vendedor,cliente201@telpin.com.ar,+54 2254 401270
C1203,Residencial,Cariló,P04,2023-03-01,2026-04-05,Sin motivo declarado,Vendedor,cliente202@gmail.com,02254-411549
C1204,Residencial,Pinamar,P01,2018-04-06,,,Vendedor,cliente203@telpin.com.ar,02254-417021
C1205,Residencial,Pinamar,P02,2021-10-29,,,Web,cliente204@yahoo.com.ar,02254-470612
C1206,Residencial,Ostende,P01,2020-07-25,,,Web,cliente205@telpin.com.ar,02254-477131
C1207,Residencial,General Madariaga,P05,2019-10-07,,,Vendedor,cliente206@gmail.com,+54 2254 403053
C1208,Comercial,General Madariaga,P06,2019-03-13,,,Telefónico,cliente207@gmail.com,2254430836
C1209,Comercial,VALERIA DEL MAR,P05,2021-12-27,,,Referido,,+54 2254 499746
C1210,Residencial,Pinamar,P02,2023-04-20,,,Vendedor,cliente209@yahoo.com.ar,+54 2254 442833
C1211,Residencial,Ostende,P01,2023-02-23,,,Referido,cliente210@hotmail.com,02254-439734
C1212,comercial,valeria del mar,P05,2022-10-27,,,Vendedor,cliente211@hotmail.com,+54 2254 480230
C1213,Residencial,Pinamar,P01,2021-02-08,,,Web,cliente212@gmail.com,02254-404667
C1214,Residencial,Cariló,P03,2023-05-19,,,Web,cliente213@gmail.com,02254-456412
C1215,Comercial,Ostende,P06,2020-07-09,,,Sucursal,,+54 2254 467252
C1216,RESIDENCIAL,Cariló,P04,2022-01-20,,,Telefónico,cliente215@yahoo.com.ar,
C1217,Residencial,Cariló,P01,2023-08-24,,,Vendedor,cliente216@gmail.com,02254-492242
C1218,Comercial,Pinamar,P06,2023-11-27,,,Sucursal,cliente217@gmail.com,2254421083
C1219,RESIDENCIAL,Ostende,P02,2020-10-22,2025-01-27,Falta de pago,Web,cliente218@gmail.com,+54 2254 438619
C1220,RESIDENCIAL,Pinamar,P01,2021-12-20,,,Vendedor,cliente219@gmail.com,+54 2254 411707
C1221,Residencial,Pinamar,P02,2021-12-28,,,Web,cliente220@hotmail.com,02254-473864
C1222,Residencial,Mar de Ostende,P02,2021-04-24,,,Sucursal,cliente221@gmail.com,+54 2254 419559
C1223,Comercial,Mar de Ostende,P06,2020-02-27,,,Sucursal,cliente222@gmail.com,+54 2254 422259
C1224,Residencial,Ostende,P01,2022-12-27,2025-09-14,Se muda,Vendedor,cliente223@gmail.com,02254-476601
C1225,Residencial,Ostende,P02,2021-07-06,,,Web,,+54 2254 478566
C1226,residencial,Valeria del Mar,P03,2021-03-07,,,Sucursal,cliente225@gmail.com,2254464070
C1227,Comercial,Carilo,P06,2013-01-01,,,Vendedor,cliente226@gmail.com,+54 2254 440956
C1228,Residencial,Pinamar,P03,2022-07-09,,,Vendedor,cliente227@gmail.com,+54 2254 452286
C1229,RESIDENCIAL,Pinamar,P03,2021-12-11,2025-05-08,Competencia,Referido,,+54 2254 475725
C1230,Residencial,Pinamar,P01,2019-08-14,,,Sucursal,cliente229@hotmail.com,+54 2254 429722
C1231,residencial,Valeria del Mar,P04,2021-03-17,,,Telefónico,cliente230@gmail.com,2254470534
C1232,Residencial,Cariló,P01,2020-10-28,,,Web,cliente231@gmail.com,+54 2254 425835
C1233,RESIDENCIAL,Valeria del Mar,P03,2023-03-08,,,Telefónico,cliente232@telpin.com.ar,02254-418834
C1234,Comercial,valeria del mar,P06,2022-10-17,,,Sucursal,,2254471274
C1235,Residencial,Mar de Ostende,P02,2023-03-02,,,Sucursal,cliente234@yahoo.com.ar,
C1236,Residencial,Pinamar,P04,2022-04-02,,,Web,cliente235@yahoo.com.ar,02254-446369
C1237,Residencial,Mar de Ostende,P02,2019-12-21,,,Vendedor,cliente236@telpin.com.ar,02254-402099
C1238,Residencial,Pinamar,P05,2020-06-12,,,Web,cliente237@gmail.com,2254461220
C1239,Residencial,Mar de Ostende,P01,2024-03-17,,,Sucursal,cliente238@gmail.com,2254492509
C1240,Residencial,Mar de Ostende,P04,2022-12-11,,,Telefónico,cliente239@hotmail.com,02254-482083
C1241,Comercial,Pinamar,P06,2023-06-14,2026-03-21,Disconformidad con el servicio,Web,cliente240@hotmail.com,2254412692
C1242,Residencial,PINAMAR,P02,2023-04-02,2026-06-07,Disconformidad con el servicio,Telefónico,cliente241@yahoo.com.ar,02254-488657
C1243,Residencial,Pinamar,P03,2021-10-02,2025-03-18,Falta de pago,Vendedor,cliente242@hotmail.com,2254403602
C1244,Comercial,  General Madariaga ,P06,2017-09-06,,,Vendedor,cliente243@telpin.com.ar,2254443268
C1245,Comercial,general madariaga,P05,2017-05-26,,,Sucursal,cliente244@telpin.com.ar,2254464408
C1246,Residencial,Ostende,P04,2023-01-19,2024-10-21,Falta de pago,Telefónico,cliente245@telpin.com.ar,+54 2254 407048
C1247,Residencial,Ostende,P02,2020-11-30,,,Vendedor,cliente246@gmail.com,02254-433742
C1248,Residencial,Mar de Ostende,P02,2021-03-21,,,Sucursal,cliente247@gmail.com,2254472280
C1249,Residencial,General Madariaga,P05,2021-07-11,,,Telefónico,cliente248@yahoo.com.ar,+54 2254 455944
C1250,Residencial,Ostende,P03,2015-05-21,,,Web,cliente249@hotmail.com,+54 2254 417713
C1251,Residencial,Cariló,P04,2023-07-25,2025-04-03,Fin de temporada,Referido,cliente250@gmail.com,2254463404
C1252,Residencial,Cariló,P02,2015-11-20,,,Web,cliente251@hotmail.com,
C1253,Residencial,Pinamar,P04,2022-05-17,2025-06-03,Disconformidad con el servicio,Referido,cliente252@gmail.com,02254-452959
C1254,Residencial,Ostende,P02,2023-02-17,,,Web,cliente253@gmail.com,02254-493146
C1255,Residencial,Valeria del Mar,P03,2018-04-14,,,Telefónico,cliente254@gmail.com,2254482135
C1256,Residencial,Mar de Ostende,P04,2022-03-19,2026-04-24,Fin de temporada,Web,cliente255@gmail.com,02254-438770
C1257,Residencial,  Ostende ,P01,2023-07-17,,,Sucursal,cliente256@gmail.com,02254-412413
C1258,Residencial,Pinamar,P05,2021-12-03,,,Sucursal,cliente257@hotmail.com,2254470264
C1259,Residencial,Cariló,P01,2023-04-01,,,Referido,cliente258@hotmail.com,02254-470955
C1260,Residencial,Pinamar,P03,2022-12-12,,,Telefónico,cliente259@gmail.com,
C1261,Residencial,Pinamar,P02,2019-12-21,,,Sucursal,cliente260@gmail.com,02254-444807
C1262,residencial,Mar de Ostende,P03,2022-05-01,,,Telefónico,cliente261@telpin.com.ar,2254448305
